zip,year,estimated_deaths,death_rate_per_1000,median_income,percent_65_plus,percent_no_hs,percent_bachelor_or_higher,percent_white_non_hispanic,percent_black,percent_hispanic
75081.0,2014.0,222,6.08,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2015.0,226,6.19,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2016.0,230,6.3,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2017.0,236,6.47,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2018.0,238,6.52,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2019.0,237,6.49,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2020.0,287,7.86,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2021.0,294,8.06,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75081.0,2022.0,269,7.37,88161.0,13.59438796481517,13.810178817056396,44.24837885635685,46.37601731838983,20.513523141424383,18.02811498095525
75082.0,2011.0,167,5.68,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2012.0,168,5.72,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2013.0,175,5.96,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2014.0,179,6.09,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2015.0,182,6.19,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2016.0,185,6.3,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2017.0,190,6.47,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2018.0,192,6.53,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2019.0,191,6.5,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2020.0,231,7.86,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2021.0,236,8.03,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75082.0,2022.0,216,7.35,108869.0,12.233716735860614,7.044609665427509,66.46840148698885,51.10596882869394,9.351391819233648,8.749064180221874
75104.0,2011.0,280,5.68,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2012.0,281,5.7,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2013.0,294,5.96,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2014.0,301,6.11,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2015.0,305,6.19,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
75104.0,2016.0,311,6.31,84760.0,11.10547564464101,22.20082177709296,28.97727272727273,17.364224706335843,49.481649794080056,26.20762410987807
